"cell_genes"	"cell_type"	"k"
"TPT1"	"Mesothelial"	"Cluster 33"
"RBP4"	"Mesothelial"	"Cluster 33"
"GFPT2"	"Mesothelial"	"Cluster 33"
"RPL12"	"Mesothelial"	"Cluster 33"
"RPS2"	"Mesothelial"	"Cluster 33"
"RPL17"	"Mesothelial"	"Cluster 33"
"PROCR"	"Mesothelial"	"Cluster 33"
"ALOX5AP"	"Mesothelial"	"Cluster 33"
"RPS15A"	"Mesothelial"	"Cluster 33"
"RARRES3"	"Mesothelial"	"Cluster 33"
"SERPINB2"	"Mesothelial"	"Cluster 33"
"PTPRF"	"Mesothelial"	"Cluster 33"
"LSR"	"Mesothelial"	"Cluster 33"
"RPS4Y1"	"Mesothelial"	"Cluster 33"
"PHLDA2"	"Mesothelial"	"Cluster 33"
"UPK1B"	"Mesothelial"	"Cluster 33"
"RAB31"	"Mesothelial"	"Cluster 33"
"GGCT"	"Mesothelial"	"Cluster 33"
"C4orf48"	"Mesothelial"	"Cluster 33"
"RPS17"	"Mesothelial"	"Cluster 33"
"PYCARD"	"Mesothelial"	"Cluster 33"
"CISD1"	"Mesothelial"	"Cluster 33"
"PTGIS"	"Mesothelial"	"Cluster 33"
"STEAP1"	"Mesothelial"	"Cluster 33"
"RPL41"	"Mesothelial"	"Cluster 33"
"MMD"	"Mesothelial"	"Cluster 33"
"PAPPA"	"Mesothelial"	"Cluster 33"
"IL1R1"	"Mesothelial"	"Cluster 33"
"CCNG1"	"Mesothelial"	"Cluster 33"
"LXN"	"Mesothelial"	"Cluster 33"
"RPS28"	"Mesothelial"	"Cluster 33"
"CHI3L1"	"Mesothelial"	"Cluster 33"
"MIR4435-2HG"	"Mesothelial"	"Cluster 33"
"MAF"	"Mesothelial"	"Cluster 33"
"RPL34"	"Mesothelial"	"Cluster 33"
"MT1E"	"Mesothelial"	"Cluster 33"
"OLA1"	"Mesothelial"	"Cluster 33"
"PSMB9"	"Mesothelial"	"Cluster 33"
"RPLP0"	"Mesothelial"	"Cluster 33"
"ELOVL5"	"Mesothelial"	"Cluster 33"
"DUSP23"	"Mesothelial"	"Cluster 33"
"LRRC75A-AS1"	"Mesothelial"	"Cluster 33"
"PLSCR1"	"Mesothelial"	"Cluster 33"
"PLIN2"	"Mesothelial"	"Cluster 33"
"ZFAS1"	"Mesothelial"	"Cluster 33"
"MGST1"	"Mesothelial"	"Cluster 33"
"FBXO2"	"Mesothelial"	"Cluster 33"
"CCDC71L"	"Mesothelial"	"Cluster 33"
"IGFL2"	"Mesothelial"	"Cluster 33"
"TMSB4X"	"Mesothelial"	"Cluster 33"
"LY6E"	"Mesothelial"	"Cluster 33"
"SLPI"	"Mesothelial"	"Cluster 33"
"RPL35"	"Mesothelial"	"Cluster 33"
"EVA1C"	"Mesothelial"	"Cluster 33"
"RPS29"	"Mesothelial"	"Cluster 33"
"CD74"	"Mesothelial"	"Cluster 33"
"LY96"	"Mesothelial"	"Cluster 33"
"SDC4"	"Mesothelial"	"Cluster 33"
"ANXA3"	"Mesothelial"	"Cluster 33"
"HLA-DQA1"	"Mesothelial"	"Cluster 33"
"RPL32"	"Mesothelial"	"Cluster 33"
"RPL13"	"Mesothelial"	"Cluster 33"
"RPL13A"	"Mesothelial"	"Cluster 33"
"RPLP1"	"Mesothelial"	"Cluster 33"
"C2"	"Mesothelial"	"Cluster 33"
"C17orf89"	"Mesothelial"	"Cluster 33"
"TPBG"	"Mesothelial"	"Cluster 33"
"MARCKSL1"	"Mesothelial"	"Cluster 33"
"RPL26"	"Mesothelial"	"Cluster 33"
"DUSP6"	"Mesothelial"	"Cluster 33"
"FABP5"	"Mesothelial"	"Cluster 33"
"UGDH"	"Mesothelial"	"Cluster 33"
"GPX1"	"Mesothelial"	"Cluster 33"
"ZNF593"	"Mesothelial"	"Cluster 33"
"PDLIM4"	"Mesothelial"	"Cluster 33"
"TUBA1C"	"Mesothelial"	"Cluster 33"
"RPS15"	"Mesothelial"	"Cluster 33"
"MRPS33"	"Mesothelial"	"Cluster 33"
"RPL36A"	"Mesothelial"	"Cluster 33"
"RPSAP58"	"Mesothelial"	"Cluster 33"
"RARRES1"	"Mesothelial"	"Cluster 33"
"SAT1"	"Mesothelial"	"Cluster 33"
"TMSB10"	"Mesothelial"	"Cluster 33"
"RPLP2"	"Mesothelial"	"Cluster 33"
"GAS1"	"Mesothelial"	"Cluster 33"
"RPS27"	"Mesothelial"	"Cluster 33"
"COTL1"	"Mesothelial"	"Cluster 33"
"RPS14"	"Mesothelial"	"Cluster 33"
"NNMT"	"Mesothelial"	"Cluster 33"
"STMN1"	"Mesothelial"	"Cluster 33"
"RPL18A"	"Mesothelial"	"Cluster 33"
"SNHG5"	"Mesothelial"	"Cluster 33"
"IFITM1"	"Mesothelial"	"Cluster 33"
"TM4SF1"	"Mesothelial"	"Cluster 33"
"NME1"	"Mesothelial"	"Cluster 33"
"HIF1A"	"Mesothelial"	"Cluster 33"
"RPS24"	"Mesothelial"	"Cluster 33"
"PIM1"	"Mesothelial"	"Cluster 33"
"S100A16"	"Mesothelial"	"Cluster 33"
"RPSA"	"Mesothelial"	"Cluster 33"
"RPS14P3"	"Mesothelial"	"Cluster 33"
"ERRFI1"	"Mesothelial"	"Cluster 33"
"ENY2"	"Mesothelial"	"Cluster 33"
"C7orf73"	"Mesothelial"	"Cluster 33"
"UGCG"	"Mesothelial"	"Cluster 33"
"TIMM8B"	"Mesothelial"	"Cluster 33"
"RAB13"	"Mesothelial"	"Cluster 33"
"RPS6"	"Mesothelial"	"Cluster 33"
"TMEM14B"	"Mesothelial"	"Cluster 33"
"PSMB8"	"Mesothelial"	"Cluster 33"
"RPS3"	"Mesothelial"	"Cluster 33"
"POLR2L"	"Mesothelial"	"Cluster 33"
"RPL29"	"Mesothelial"	"Cluster 33"
"B4GALT1"	"Mesothelial"	"Cluster 33"
"UBA52"	"Mesothelial"	"Cluster 33"
"AREG"	"Mesothelial"	"Cluster 33"
"RPS10"	"Mesothelial"	"Cluster 33"
"HLA-DMA"	"Mesothelial"	"Cluster 33"
"SH3GLB1"	"Mesothelial"	"Cluster 33"
"RPL7"	"Mesothelial"	"Cluster 33"
"ATOX1"	"Mesothelial"	"Cluster 33"
"RPS21"	"Mesothelial"	"Cluster 33"
"RPL13AP5"	"Mesothelial"	"Cluster 33"
"COX7C"	"Mesothelial"	"Cluster 33"
"IFI30"	"Mesothelial"	"Cluster 33"
"RPS8"	"Mesothelial"	"Cluster 33"
"RPL38"	"Mesothelial"	"Cluster 33"
"HLA-DRA"	"Mesothelial"	"Cluster 33"
"RPL22L1"	"Mesothelial"	"Cluster 33"
"CCDC80"	"Mesothelial"	"Cluster 33"
"HIGD2A"	"Mesothelial"	"Cluster 33"
"RPL10"	"Mesothelial"	"Cluster 33"
"EIF3M"	"Mesothelial"	"Cluster 33"
"HLA-DRB1"	"Mesothelial"	"Cluster 33"
"C14orf2"	"Mesothelial"	"Cluster 33"
"GAS5"	"Mesothelial"	"Cluster 33"
"IGFBP4"	"Mesothelial"	"Cluster 33"
"RPS20"	"Mesothelial"	"Cluster 33"
"LGALS1"	"Mesothelial"	"Cluster 33"
"MT2A"	"Mesothelial"	"Cluster 33"
"RPL37A"	"Mesothelial"	"Cluster 33"
"RPL23"	"Mesothelial"	"Cluster 33"
"MT1X"	"Mesothelial"	"Cluster 33"
"TMEM98"	"Mesothelial"	"Cluster 33"
"SH3BGRL3"	"Mesothelial"	"Cluster 33"
"TNFRSF12A"	"Mesothelial"	"Cluster 33"
"BAX"	"Mesothelial"	"Cluster 33"
"HLA-DPB1"	"Mesothelial"	"Cluster 33"
"NPM1"	"Mesothelial"	"Cluster 33"
"RPS5"	"Mesothelial"	"Cluster 33"
"TYROBP"	"Mesothelial"	"Cluster 33"
"B2M"	"Mesothelial"	"Cluster 33"
"RPL18"	"Mesothelial"	"Cluster 33"
"HLA-DRB5"	"Mesothelial"	"Cluster 33"
"PSMA2"	"Mesothelial"	"Cluster 33"
"SEC61G"	"Mesothelial"	"Cluster 33"
"S100A6"	"Mesothelial"	"Cluster 33"
"PHPT1"	"Mesothelial"	"Cluster 33"
"PRDX5"	"Mesothelial"	"Cluster 33"
"ENO1"	"Mesothelial"	"Cluster 33"
"KRT5"	"Mesothelial"	"Cluster 33"
"PTMA"	"Mesothelial"	"Cluster 33"
"RPS3A"	"Mesothelial"	"Cluster 33"
"FABP4"	"Mesothelial"	"Cluster 33"
"ATP5G2"	"Mesothelial"	"Cluster 33"
"RPL11"	"Mesothelial"	"Cluster 33"
"COX6B1"	"Mesothelial"	"Cluster 33"
"NAMPT"	"Mesothelial"	"Cluster 33"
"RPL7A"	"Mesothelial"	"Cluster 33"
"RPL27"	"Mesothelial"	"Cluster 33"
"UQCRQ"	"Mesothelial"	"Cluster 33"
"HMGN1"	"Mesothelial"	"Cluster 33"
"RPS23"	"Mesothelial"	"Cluster 33"
"FKBP1A"	"Mesothelial"	"Cluster 33"
"LYZ"	"Mesothelial"	"Cluster 33"
"TMEM258"	"Mesothelial"	"Cluster 33"
"COL1A1"	"Mesothelial"	"Cluster 33"
"COL3A1"	"Mesothelial"	"Cluster 33"
"RPL19"	"Mesothelial"	"Cluster 33"
"TMEM14C"	"Mesothelial"	"Cluster 33"
"RPS13"	"Mesothelial"	"Cluster 33"
"HINT1"	"Mesothelial"	"Cluster 33"
"RPL10A"	"Mesothelial"	"Cluster 33"
"EEF1G"	"Mesothelial"	"Cluster 33"
"GAPDH"	"Mesothelial"	"Cluster 33"
"EEF1B2"	"Mesothelial"	"Cluster 33"
"UQCRH"	"Mesothelial"	"Cluster 33"
"AP2S1"	"Mesothelial"	"Cluster 33"
"HLA-DRB6"	"Mesothelial"	"Cluster 33"
"H19"	"Mesothelial"	"Cluster 33"
"RPS11"	"Mesothelial"	"Cluster 33"
"OSTC"	"Mesothelial"	"Cluster 33"
"RPL8"	"Mesothelial"	"Cluster 33"
"RPS27A"	"Mesothelial"	"Cluster 33"
"ATP5E"	"Mesothelial"	"Cluster 33"
"HLA-B"	"Mesothelial"	"Cluster 33"
"NPC2"	"Mesothelial"	"Cluster 33"
"CUTA"	"Mesothelial"	"Cluster 33"
"HLA-DPA1"	"Mesothelial"	"Cluster 33"
"RPL35A"	"Mesothelial"	"Cluster 33"
"TXN"	"Mesothelial"	"Cluster 33"
"PRDX6"	"Mesothelial"	"Cluster 33"
"HSPE1"	"Mesothelial"	"Cluster 33"
"RPL23A"	"Mesothelial"	"Cluster 33"
"VAPA"	"Mesothelial"	"Cluster 33"
"CD79A"	"B"	"Cluster 34"
"MS4A1"	"B"	"Cluster 34"
"CD79B"	"B"	"Cluster 34"
"LINC00926"	"B"	"Cluster 34"
"BANK1"	"B"	"Cluster 34"
"CD37"	"B"	"Cluster 34"
"VPREB3"	"B"	"Cluster 34"
"LTB"	"B"	"Cluster 34"
"TCL1A"	"B"	"Cluster 34"
"RCSD1"	"B"	"Cluster 34"
"FCER2"	"B"	"Cluster 34"
"HVCN1"	"B"	"Cluster 34"
"BLK"	"B"	"Cluster 34"
"CD19"	"B"	"Cluster 34"
"FCRLA"	"B"	"Cluster 34"
"RPL18A"	"B"	"Cluster 34"
"RPS23"	"B"	"Cluster 34"
"RPS8"	"B"	"Cluster 34"
"PAX5"	"B"	"Cluster 34"
"RPL13A"	"B"	"Cluster 34"
"RPS5"	"B"	"Cluster 34"
"HLA-DOB"	"B"	"Cluster 34"
"EEF2"	"B"	"Cluster 34"
"RPS11"	"B"	"Cluster 34"
"FCMR"	"B"	"Cluster 34"
"RPLP2"	"B"	"Cluster 34"
"RPL8"	"B"	"Cluster 34"
"ADAM28"	"B"	"Cluster 34"
"MEF2C"	"B"	"Cluster 34"
"CD24"	"B"	"Cluster 34"
"FCRL1"	"B"	"Cluster 34"
"CD74"	"B"	"Cluster 34"
"RPS27"	"B"	"Cluster 34"
"P2RX5"	"B"	"Cluster 34"
"RPL13AP5"	"B"	"Cluster 34"
"RPL11"	"B"	"Cluster 34"
"RPSA"	"B"	"Cluster 34"
"RPL18"	"B"	"Cluster 34"
"CD52"	"B"	"Cluster 34"
"EEF1G"	"B"	"Cluster 34"
"RPL19"	"B"	"Cluster 34"
"GNG7"	"B"	"Cluster 34"
"RPL23A"	"B"	"Cluster 34"
"RPS18"	"B"	"Cluster 34"
"RPL13"	"B"	"Cluster 34"
"RPL10A"	"B"	"Cluster 34"
"RPS29"	"B"	"Cluster 34"
"RPL39"	"B"	"Cluster 34"
"RPS2"	"B"	"Cluster 34"
"RPS21"	"B"	"Cluster 34"
"RPS10"	"B"	"Cluster 34"
"RPS17"	"B"	"Cluster 34"
"RPL30"	"B"	"Cluster 34"
"RPL21"	"B"	"Cluster 34"
"SPIB"	"B"	"Cluster 34"
"RPL32"	"B"	"Cluster 34"
"IRF8"	"B"	"Cluster 34"
"PTPRCAP"	"B"	"Cluster 34"
"RPL12"	"B"	"Cluster 34"
"RPL37"	"B"	"Cluster 34"
"RPL7A"	"B"	"Cluster 34"
"RPS3A"	"B"	"Cluster 34"
"RPSAP58"	"B"	"Cluster 34"
"FAM129C"	"B"	"Cluster 34"
"RPS15A"	"B"	"Cluster 34"
"RPS6"	"B"	"Cluster 34"
"LOC101927412"	"B"	"Cluster 34"
"EEF1B2"	"B"	"Cluster 34"
"HLA-DRB6"	"B"	"Cluster 34"
"CD72"	"B"	"Cluster 34"
"RPS28"	"B"	"Cluster 34"
"RPL3"	"B"	"Cluster 34"
"GNB2L1"	"B"	"Cluster 34"
"CD22"	"B"	"Cluster 34"
"QRSL1"	"B"	"Cluster 34"
"RPL36"	"B"	"Cluster 34"
"IL4R"	"B"	"Cluster 34"
"ORAI2"	"B"	"Cluster 34"
"CYB561A3"	"B"	"Cluster 34"
"RPL34"	"B"	"Cluster 34"
"PPAPDC1B"	"B"	"Cluster 34"
"GLTSCR2"	"B"	"Cluster 34"
"POU2AF1"	"B"	"Cluster 34"
"RALGPS2"	"B"	"Cluster 34"
"KIAA0125"	"B"	"Cluster 34"
"LIMD2"	"B"	"Cluster 34"
"TXNIP"	"B"	"Cluster 34"
"RPLP0"	"B"	"Cluster 34"
"TPD52"	"B"	"Cluster 34"
"SELL"	"B"	"Cluster 34"
"CD40"	"B"	"Cluster 34"
"RPL17"	"B"	"Cluster 34"
"RPL5"	"B"	"Cluster 34"
"AFF3"	"B"	"Cluster 34"
"PNOC"	"B"	"Cluster 34"
"GAS5"	"B"	"Cluster 34"
"LAPTM5"	"B"	"Cluster 34"
"SNHG7"	"B"	"Cluster 34"
"IFT57"	"B"	"Cluster 34"
"TSPAN13"	"B"	"Cluster 34"
"SNX2"	"B"	"Cluster 34"
"BCL11A"	"B"	"Cluster 34"
"KIAA0226L"	"B"	"Cluster 34"
"BTG1"	"B"	"Cluster 34"
"STRBP"	"B"	"Cluster 34"
"TMEM156"	"B"	"Cluster 34"
"SMIM14"	"B"	"Cluster 34"
"ZCCHC7"	"B"	"Cluster 34"
"HHEX"	"B"	"Cluster 34"
"CCR7"	"B"	"Cluster 34"
"TNFRSF13B"	"B"	"Cluster 34"
"CXCR4"	"B"	"Cluster 34"
"NCF1C"	"B"	"Cluster 34"
"POU2F2"	"B"	"Cluster 34"
"ISG20"	"B"	"Cluster 34"
"PNISR"	"B"	"Cluster 34"
"RPL36A"	"B"	"Cluster 34"
"TMEM243"	"B"	"Cluster 34"
"KLF2"	"B"	"Cluster 34"
"HLA-DMB"	"B"	"Cluster 34"
"PLEKHF2"	"B"	"Cluster 34"
"EVI2B"	"B"	"Cluster 34"
"PKIG"	"B"	"Cluster 34"
"SWAP70"	"B"	"Cluster 34"
"MARCH1"	"B"	"Cluster 34"
"CLEC2D"	"B"	"Cluster 34"
"EZR"	"B"	"Cluster 34"
"PRKCB"	"B"	"Cluster 34"
"FAM65B"	"B"	"Cluster 34"
"HBB"	"B"	"Cluster 34"
"LY86"	"B"	"Cluster 34"
"MDM4"	"B"	"Cluster 34"
"FAM26F"	"B"	"Cluster 34"
"STK17A"	"B"	"Cluster 34"
"JCHAIN"	"Plasma"	"Cluster 35"
"MZB1"	"Plasma"	"Cluster 35"
"SSR4"	"Plasma"	"Cluster 35"
"HERPUD1"	"Plasma"	"Cluster 35"
"HSP90B1"	"Plasma"	"Cluster 35"
"SEC11C"	"Plasma"	"Cluster 35"
"DERL3"	"Plasma"	"Cluster 35"
"FKBP11"	"Plasma"	"Cluster 35"
"PRDX4"	"Plasma"	"Cluster 35"
"IGLL5"	"Plasma"	"Cluster 35"
"SDC1"	"Plasma"	"Cluster 35"
"TNFRSF17"	"Plasma"	"Cluster 35"
"FKBP2"	"Plasma"	"Cluster 35"
"ANKRD36BP2"	"Plasma"	"Cluster 35"
"XBP1"	"Plasma"	"Cluster 35"
"TNFRSF13B"	"Plasma"	"Cluster 35"
"ITM2C"	"Plasma"	"Cluster 35"
"SPCS2"	"Plasma"	"Cluster 35"
"PDIA6"	"Plasma"	"Cluster 35"
"CD27"	"Plasma"	"Cluster 35"
"SPCS1"	"Plasma"	"Cluster 35"
"POU2AF1"	"Plasma"	"Cluster 35"
"CD79A"	"Plasma"	"Cluster 35"
"SPAG4"	"Plasma"	"Cluster 35"
"VIMP"	"Plasma"	"Cluster 35"
"MANF"	"Plasma"	"Cluster 35"
"JSRP1"	"Plasma"	"Cluster 35"
"MYDGF"	"Plasma"	"Cluster 35"
"SELM"	"Plasma"	"Cluster 35"
"TXNDC11"	"Plasma"	"Cluster 35"
"DNAJB9"	"Plasma"	"Cluster 35"
"GNG7"	"Plasma"	"Cluster 35"
"SSR3"	"Plasma"	"Cluster 35"
"AMPD1"	"Plasma"	"Cluster 35"
"KRTCAP2"	"Plasma"	"Cluster 35"
"PIM2"	"Plasma"	"Cluster 35"
"CRELD2"	"Plasma"	"Cluster 35"
"FCRL5"	"Plasma"	"Cluster 35"
"FAM46C"	"Plasma"	"Cluster 35"
"SPCS3"	"Plasma"	"Cluster 35"
"SCNN1B"	"Plasma"	"Cluster 35"
"CHPF"	"Plasma"	"Cluster 35"
"TMEM59"	"Plasma"	"Cluster 35"
"TPD52"	"Plasma"	"Cluster 35"
"WNT10A"	"Plasma"	"Cluster 35"
"SDF2L1"	"Plasma"	"Cluster 35"
"PLA2G2D"	"Plasma"	"Cluster 35"
"TXNDC15"	"Plasma"	"Cluster 35"
"CTHRC1"	"Plasma"	"Cluster 35"
"UBE2J1"	"Plasma"	"Cluster 35"
"SLAMF7"	"Plasma"	"Cluster 35"
"TMED10"	"Plasma"	"Cluster 35"
"MEI1"	"Plasma"	"Cluster 35"
"TMEM258"	"Plasma"	"Cluster 35"
"PAIP2B"	"Plasma"	"Cluster 35"
"TP53INP1"	"Plasma"	"Cluster 35"
"TMED9"	"Plasma"	"Cluster 35"
"RABAC1"	"Plasma"	"Cluster 35"
"RASGRP3"	"Plasma"	"Cluster 35"
"PPAPDC1B"	"Plasma"	"Cluster 35"
"SEC61B"	"Plasma"	"Cluster 35"
"CCR10"	"Plasma"	"Cluster 35"
"CD38"	"Plasma"	"Cluster 35"
"MANEA"	"Plasma"	"Cluster 35"
"ISCU"	"Plasma"	"Cluster 35"
"ERLEC1"	"Plasma"	"Cluster 35"
"LMAN2"	"Plasma"	"Cluster 35"
"HSH2D"	"Plasma"	"Cluster 35"
"NUCB2"	"Plasma"	"Cluster 35"
"PDIA4"	"Plasma"	"Cluster 35"
"SEL1L3"	"Plasma"	"Cluster 35"
"RPN2"	"Plasma"	"Cluster 35"
"IGF1"	"Plasma"	"Cluster 35"
"CTSH"	"Plasma"	"Cluster 35"
"PPIB"	"Plasma"	"Cluster 35"
"LMAN1"	"Plasma"	"Cluster 35"
"PERP"	"Plasma"	"Cluster 35"
"CFL2"	"Plasma"	"Cluster 35"
"PDK1"	"Plasma"	"Cluster 35"
"HSPA5"	"Plasma"	"Cluster 35"
"TRAM1"	"Plasma"	"Cluster 35"
"DDOST"	"Plasma"	"Cluster 35"
"CCDC167"	"Plasma"	"Cluster 35"
"FAM3C"	"Plasma"	"Cluster 35"
"HLA-DOB"	"Plasma"	"Cluster 35"
"HM13"	"Plasma"	"Cluster 35"
"CAV1"	"Plasma"	"Cluster 35"
"SUB1"	"Plasma"	"Cluster 35"
"CD59"	"Plasma"	"Cluster 35"
"GAS6"	"Plasma"	"Cluster 35"
"HDLBP"	"Plasma"	"Cluster 35"
"PABPC4"	"Plasma"	"Cluster 35"
"TMEM156"	"Plasma"	"Cluster 35"
"EAF2"	"Plasma"	"Cluster 35"
"ERGIC3"	"Plasma"	"Cluster 35"
"TRIB1"	"Plasma"	"Cluster 35"
"SELK"	"Plasma"	"Cluster 35"
"KDELR2"	"Plasma"	"Cluster 35"
"TMEM205"	"Plasma"	"Cluster 35"
"RAB30"	"Plasma"	"Cluster 35"
"AQP3"	"Plasma"	"Cluster 35"
"DANCR"	"Plasma"	"Cluster 35"
"ISG20"	"Plasma"	"Cluster 35"
"ARSA"	"Plasma"	"Cluster 35"
"KDELR1"	"Plasma"	"Cluster 35"
"SLC38A10"	"Plasma"	"Cluster 35"
"HSPA13"	"Plasma"	"Cluster 35"
"SIK1"	"Plasma"	"Cluster 35"
"CALR"	"Plasma"	"Cluster 35"
"SRM"	"Plasma"	"Cluster 35"
"TSC22D3"	"Plasma"	"Cluster 35"
"DNAJB11"	"Plasma"	"Cluster 35"
"QPCT"	"Plasma"	"Cluster 35"
"P4HB"	"Plasma"	"Cluster 35"
"CUTA"	"Plasma"	"Cluster 35"
"TIFA"	"Plasma"	"Cluster 35"
"SRPRB"	"Plasma"	"Cluster 35"
"GSTP1"	"Plasma"	"Cluster 35"
"JUN"	"Plasma"	"Cluster 35"
"BIRC3"	"Plasma"	"Cluster 35"
"GORASP2"	"Plasma"	"Cluster 35"
"DERL1"	"Plasma"	"Cluster 35"
"SIL1"	"Plasma"	"Cluster 35"
"CFLAR"	"Plasma"	"Cluster 35"
"RPN1"	"Plasma"	"Cluster 35"
"IL2RG"	"Plasma"	"Cluster 35"
"ALG5"	"Plasma"	"Cluster 35"
"SEC61A1"	"Plasma"	"Cluster 35"
"ICAM2"	"Plasma"	"Cluster 35"
"IFNAR2"	"Plasma"	"Cluster 35"
"DNAJC3"	"Plasma"	"Cluster 35"
"TMED2"	"Plasma"	"Cluster 35"
"ATF4"	"Plasma"	"Cluster 35"
"CNPY2"	"Plasma"	"Cluster 35"
"IGLL1"	"Plasma"	"Cluster 35"
"H1FX"	"Plasma"	"Cluster 35"
"DUSP5"	"Plasma"	"Cluster 35"
"KIAA0125"	"Plasma"	"Cluster 35"
"DNAJC1"	"Plasma"	"Cluster 35"
"TECR"	"Plasma"	"Cluster 35"
"OS9"	"Plasma"	"Cluster 35"
"MIF"	"Plasma"	"Cluster 35"
"OSTC"	"Plasma"	"Cluster 35"
"SEL1L"	"Plasma"	"Cluster 35"
"SEC62"	"Plasma"	"Cluster 35"
"ERP29"	"Plasma"	"Cluster 35"
"ARF4"	"Plasma"	"Cluster 35"
"DAD1"	"Plasma"	"Cluster 35"
"VOPP1"	"Plasma"	"Cluster 35"
"DNAAF1"	"Plasma"	"Cluster 35"
"UBC"	"Plasma"	"Cluster 35"
"WBSCR22"	"Plasma"	"Cluster 35"
"SERP1"	"Plasma"	"Cluster 35"
"TMBIM6"	"Plasma"	"Cluster 35"
"ANKRD28"	"Plasma"	"Cluster 35"
"ATRAID"	"Plasma"	"Cluster 35"
"ZP3"	"Plasma"	"Cluster 35"
"SSR2"	"Plasma"	"Cluster 35"
"ANKRD37"	"Plasma"	"Cluster 35"
"CXorf21"	"Plasma"	"Cluster 35"
"EZR"	"Plasma"	"Cluster 35"
"VKORC1"	"Plasma"	"Cluster 35"
"CITED2"	"Plasma"	"Cluster 35"
"BMS1P20"	"Plasma"	"Cluster 35"
"KLF6"	"Plasma"	"Cluster 35"
"YPEL5"	"Plasma"	"Cluster 35"
"SFTPC"	"Plasma"	"Cluster 35"
"GZMK"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CCL5"	"CD8+.Memory/Effector.T"	"Cluster 36"
"IL32"	"CD8+.Memory/Effector.T"	"Cluster 36"
"NKG7"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD3D"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD3E"	"CD8+.Memory/Effector.T"	"Cluster 36"
"GZMA"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD8A"	"CD8+.Memory/Effector.T"	"Cluster 36"
"DUSP2"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CST7"	"CD8+.Memory/Effector.T"	"Cluster 36"
"FYN"	"CD8+.Memory/Effector.T"	"Cluster 36"
"PRF1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"TARP"	"CD8+.Memory/Effector.T"	"Cluster 36"
"PTPRCAP"	"CD8+.Memory/Effector.T"	"Cluster 36"
"GZMM"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CTSW"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RPL23A"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RPS3"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RPS29"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD8B"	"CD8+.Memory/Effector.T"	"Cluster 36"
"LYAR"	"CD8+.Memory/Effector.T"	"Cluster 36"
"ZFP36L2"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RPS27"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD2"	"CD8+.Memory/Effector.T"	"Cluster 36"
"IL7R"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CXCR4"	"CD8+.Memory/Effector.T"	"Cluster 36"
"SH2D1A"	"CD8+.Memory/Effector.T"	"Cluster 36"
"KLRG1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CMC1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"PIK3R1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"LCK"	"CD8+.Memory/Effector.T"	"Cluster 36"
"SPOCK2"	"CD8+.Memory/Effector.T"	"Cluster 36"
"BTG1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"IFITM1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CLEC2D"	"CD8+.Memory/Effector.T"	"Cluster 36"
"KLRB1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"LAG3"	"CD8+.Memory/Effector.T"	"Cluster 36"
"HCST"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RPL17"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD7"	"CD8+.Memory/Effector.T"	"Cluster 36"
"PVRIG"	"CD8+.Memory/Effector.T"	"Cluster 36"
"PTPRC"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD27"	"CD8+.Memory/Effector.T"	"Cluster 36"
"ETS1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"LIME1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"CD3G"	"CD8+.Memory/Effector.T"	"Cluster 36"
"GIMAP4"	"CD8+.Memory/Effector.T"	"Cluster 36"
"GZMH"	"CD8+.Memory/Effector.T"	"Cluster 36"
"PARP8"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RPS4Y1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"PRDM1"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RARRES3"	"CD8+.Memory/Effector.T"	"Cluster 36"
"RUNX3"	"CD8+.Memory/Effector.T"	"Cluster 36"
"TC2N"	"CD8+.Memory/Effector.T"	"Cluster 36"
"BCL11B"	"CD8+.Memory/Effector.T"	"Cluster 36"
"SYNE2"	"CD8+.Memory/Effector.T"	"Cluster 36"
"S1PR4"	"CD8+.Memory/Effector.T"	"Cluster 36"
"GIMAP7"	"CD8+.Memory/Effector.T"	"Cluster 36"
