set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
KCNA10	0	1	0	NA	0	1	0	0	0	NA	NA	0	0	1	0	0	3	1	0
KCNA2	1	1	0	2	1	1	1	1	1	1	1	0	1	0	0	1	12	2	0
KCNA3	8	2	6	6	7	9	6	2	6	4	4	8	4	5	5	6	16	9	2
KCNA5	1	1	1	0	1	0	0	0	0	0	NA	0	1	1	0	2	7	2	0
KCNAB1	1	0	3	1	1	1	1	1	3	0	0	1	1	1	0	2	12	3	0
KCNAB2	19	18	18	19	19	21	22	22	22	20	21	20	20	19	19	19	16	22	18
KCNAB3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
KCNB2	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	2	1
KCND3	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	2	1	0
KCNH4	NA	NA	1	NA	NA	NA	NA	1	1	NA	1	1	NA	NA	NA	NA	5	1	1
KCNH6	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	2	1	0
KCNH7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1
KCNIP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1
KCNJ10	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	1	1
KCNJ11	1	NA	1	NA	NA	NA	2	NA	1	1	NA	NA	NA	NA	5	NA	6	5	1
KCNJ15	2	NA	2	3	1	2	3	2	2	2	2	NA	NA	2	2	3	13	3	1
KCNJ2	NA	NA	NA	NA	NA	1	NA	1	1	1	2	1	2	1	1	1	10	2	1
KCNJ5	1	0	NA	0	1	NA	1	0	0	0	0	1	1	0	NA	0	5	1	0
KCNJ8	NA	NA	NA	NA	2	NA	NA	1	2	1	1	NA	NA	NA	NA	1	6	2	1
KCNK1	4	3	4	4	4	4	3	5	3	3	2	2	4	1	3	3	16	5	1
KCNK17	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	3	2	1
KCNK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1
KCNK3	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	3	1	1
KCNK5	1	1	2	1	1	2	3	2	1	1	1	2	1	1	1	3	16	3	1
KCNK6	2	NA	2	2	2	1	2	1	2	1	1	1	1	1	1	2	15	2	1
KCNMA1	13	9	9	13	11	11	8	11	10	11	12	10	9	12	13	13	16	13	8
KCNN4	2	1	3	1	3	1	1	2	2	2	2	1	1	1	1	4	16	4	1
KCNQ1	2	4	5	2	6	1	4	3	2	2	2	5	7	1	2	1	16	7	1
KCNQ5	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
KCNRG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	2	2
KCNS1	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	1	0
KCTD1	14	8	6	9	7	14	8	11	4	11	9	5	6	5	6	6	16	14	4
KCTD10	9	7	10	10	9	10	10	8	10	10	9	9	10	10	9	10	16	10	7
KCTD11	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
KCTD12	18	17	17	20	20	19	21	20	20	19	16	22	19	18	19	20	16	22	16
KCTD13	2	3	1	3	2	1	2	1	3	0	1	2	2	2	3	1	15	3	0
KCTD14	7	14	9	11	12	9	10	12	9	12	11	15	10	7	13	9	16	15	7
KCTD15	8	2	4	7	3	7	4	6	3	4	5	4	4	5	6	6	16	8	2
KCTD16	0	4	1	1	3	2	2	6	0	2	1	3	0	2	0	0	11	6	0
KCTD17	NA	1	3	2	1	3	2	1	1	2	NA	NA	1	1	2	2	13	3	1
KCTD18	9	10	8	8	9	8	7	7	7	7	5	6	6	7	8	7	16	10	5
KCTD2	3	3	3	2	2	4	3	4	3	3	3	3	4	4	4	3	16	4	2
KCTD20	NA	NA	2	1	2	2	2	1	3	2	NA	4	3	2	2	1	13	4	1
KCTD21	4	6	6	4	6	7	7	8	8	9	7	9	6	6	6	5	16	9	4
KCTD3	13	13	7	10	9	4	6	12	5	12	8	6	5	8	9	10	16	13	4
KCTD5	4	4	5	5	4	5	4	4	5	4	4	4	4	4	5	5	16	5	4
KCTD6	2	1	1	1	1	1	2	2	1	2	1	2	1	2	2	NA	15	2	1
KCTD7	1	1	5	1	NA	3	2	3	2	2	2	2	NA	1	1	NA	13	5	1
KCTD8	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0
KCTD9	8	7	8	11	10	9	5	5	11	12	12	9	8	10	8	10	16	12	5
KDELC1	23	12	16	15	15	19	19	18	16	19	17	17	17	18	18	19	16	23	12
KDELC2	30	29	26	26	22	24	26	30	28	29	28	27	27	27	31	29	16	31	22
KDELR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
KDELR2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0
KDELR3	1	1	2	1	2	2	2	1	2	1	2	1	2	1	2	1	16	2	1
KDF1	8	9	5	7	7	8	8	7	6	7	8	7	6	8	9	6	16	9	5
KDM1A	38	43	43	44	38	37	41	36	36	46	39	36	38	42	44	41	16	46	36
KDM1B	16	15	19	18	16	17	16	18	10	18	16	15	17	14	19	18	16	19	10
KDM2A	37	34	35	39	29	37	35	39	30	41	38	30	30	35	37	33	16	41	29
KDM2B	13	17	14	15	13	15	16	16	13	10	13	10	9	13	16	12	16	17	9
KDM3A	24	24	31	28	27	22	31	27	25	32	29	28	35	33	36	34	16	36	22
KDM3B	54	55	53	50	54	53	55	52	52	49	51	54	63	46	57	56	16	63	46
KDM4A	13	10	11	11	12	13	10	12	10	16	12	8	12	14	11	8	16	16	8
KDM4B	14	13	16	12	12	16	15	16	7	16	10	12	15	13	13	15	16	16	7
KDM4C	4	6	2	3	4	8	6	5	3	3	2	2	5	3	8	2	16	8	2
KDM4D	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	1	NA	NA	NA	NA	4	2	1
KDM4E	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
KDM5A	32	33	27	33	23	31	26	27	27	31	32	29	24	30	34	34	16	34	23
KDM5B	26	27	28	24	26	27	31	23	25	30	24	17	33	30	28	28	16	33	17
KDM5C	34	37	36	34	36	35	34	36	28	37	27	34	38	35	33	30	16	38	27
KDM6A	14	14	13	15	12	14	17	14	15	16	15	14	15	12	18	18	16	18	12
KDM6B	7	7	4	2	1	4	2	5	1	9	4	3	4	3	6	1	16	9	1
KDM7A	3	4	2	2	2	5	4	5	2	4	4	2	2	2	3	1	16	5	1
KDM8	5	5	6	7	4	9	6	6	8	5	4	5	5	5	7	4	16	9	4
KDR	1	6	2	2	0	3	5	5	2	3	4	2	1	1	1	1	15	6	0
KDSR	12	12	13	14	10	14	14	13	14	16	12	15	12	14	12	17	16	17	10
KEAP1	23	13	17	23	18	17	26	18	20	21	18	14	16	21	22	19	16	26	13
KEL	1	NA	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	1	1	4	8	4	1
KHDC1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1
KHDC4	13	15	15	13	11	14	17	14	10	11	15	14	11	15	13	12	16	17	10
KHDRBS1	11	9	11	13	11	10	9	9	10	13	10	12	11	11	11	11	16	13	9
KHDRBS2	4	1	0	0	3	1	4	1	2	1	1	3	0	1	2	3	13	4	0
KHDRBS3	8	8	6	5	5	5	7	7	6	8	7	6	7	7	7	6	16	8	5
KHK	3	4	5	5	6	7	4	6	5	7	4	6	4	5	4	6	16	7	3
KHNYN	21	25	24	25	15	20	22	23	20	20	18	22	22	24	24	21	16	25	15
KHSRP	44	42	49	52	43	45	44	43	44	46	44	40	46	43	46	44	16	52	40
KIAA0040	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	16	2	1
KIAA0100	35	28	31	31	27	36	34	32	29	30	34	26	28	28	31	36	16	36	26
KIAA0232	3	2	2	3	4	3	3	2	2	3	4	3	3	2	3	3	16	4	2
KIAA0319	1	3	NA	NA	2	1	NA	NA	NA	NA	1	NA	2	NA	NA	3	7	3	1
KIAA0319L	20	22	22	19	24	21	25	22	18	21	20	21	22	23	22	22	16	25	18
KIAA0355	15	9	12	7	13	19	15	13	14	17	13	9	12	12	11	15	16	19	7
KIAA0408	6	15	4	11	16	7	13	14	11	6	2	6	5	6	5	8	16	16	2
KIAA0513	10	11	9	7	6	8	9	10	11	11	12	9	11	9	9	12	16	12	6
KIAA0556	9	10	9	10	8	15	8	14	7	10	11	10	8	8	10	9	16	15	7
KIAA0586	1	NA	NA	2	NA	2	1	2	1	2	2	2	1	2	1	3	13	3	1
KIAA0753	3	4	3	3	4	7	5	7	4	9	5	5	3	5	4	4	16	9	3
KIAA0825	NA	1	NA	1	1	2	2	3	2	4	NA	2	NA	NA	NA	2	10	4	1
KIAA0895	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	2	1	1
KIAA0895L	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
KIAA0930	12	13	14	15	14	14	13	13	15	12	15	10	14	14	12	14	16	15	10
KIAA1109	16	22	20	19	25	19	16	20	18	24	26	18	31	18	19	23	16	31	16
KIAA1143	6	3	5	5	6	5	4	4	1	4	4	4	4	3	6	3	16	6	1
KIAA1147	9	10	9	10	9	10	11	9	7	10	8	11	6	9	6	12	16	12	6
KIAA1191	6	4	2	5	3	5	2	3	4	2	6	6	4	5	5	4	16	6	2
KIAA1211	21	10	22	16	19	20	14	16	14	13	18	15	19	16	15	20	16	22	10
KIAA1211L	7	11	9	10	17	16	16	12	9	21	8	9	12	8	11	8	16	21	7
KIAA1217	85	84	99	106	99	99	79	94	97	103	106	102	97	90	90	102	16	106	79
KIAA1257	1	NA	NA	2	NA	3	NA	NA	NA	1	1	1	NA	1	NA	NA	7	3	1
KIAA1324	22	24	17	27	21	23	19	19	26	34	25	18	29	22	25	23	16	34	17
KIAA1324L	13	21	10	15	12	15	23	19	13	12	8	11	9	10	10	13	16	23	8
KIAA1328	5	5	3	6	7	8	9	3	6	7	6	4	3	3	6	5	16	9	3
KIAA1468	40	41	39	35	39	39	42	37	41	41	35	37	43	44	37	46	16	46	35
KIAA1522	24	21	21	23	22	20	19	17	21	17	17	21	25	24	21	23	16	25	17
KIAA1549	1	3	2	1	2	3	1	2	1	6	2	2	1	1	1	NA	15	6	1
KIAA1551	3	5	8	9	3	9	5	9	8	10	8	6	5	8	11	8	16	11	3
KIAA1586	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	2	1	1
KIAA1671	36	32	36	52	55	44	45	43	46	42	45	38	48	50	40	45	16	55	32
KIAA1755	2	NA	NA	1	1	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	5	2	1
KIAA1841	NA	NA	2	NA	1	2	2	NA	NA	3	1	1	NA	4	2	NA	9	4	1
KIAA1958	NA	1	2	NA	1	2	NA	1	1	2	NA	NA	1	NA	1	NA	9	2	1
KIAA2012	NA	1	NA	NA	NA	NA	1	0	NA	NA	NA	NA	1	0	1	0	4	1	0
KIAA2013	12	17	10	13	12	9	11	15	14	16	16	13	13	15	15	14	16	17	9
KIAA2026	NA	2	1	NA	NA	NA	2	1	1	NA	NA	1	1	1	1	NA	9	2	1
KIDINS220	43	49	50	44	46	47	46	43	47	42	45	43	46	48	45	40	16	50	40
KIF11	48	41	45	51	42	39	42	40	35	44	43	40	35	41	45	39	16	51	35
KIF13A	45	33	35	40	42	41	46	37	44	39	39	45	39	40	42	41	16	46	33
KIF13B	68	78	71	66	66	69	68	72	72	80	69	71	64	70	64	72	16	80	64
KIF14	25	22	15	21	14	15	16	22	11	23	11	9	11	16	25	11	16	25	9
KIF15	38	18	28	26	16	28	17	25	15	27	24	17	22	33	34	21	16	38	15
KIF16B	48	46	36	46	46	36	48	36	39	40	46	34	44	37	42	39	16	48	34
KIF17	0	0	NA	2	1	0	1	0	1	0	0	0	1	0	0	0	5	2	0
KIF18A	4	4	6	3	3	3	4	6	2	5	4	4	1	4	8	2	16	8	1
KIF18B	4	3	5	5	2	3	2	7	NA	6	3	3	3	1	13	2	15	13	1
KIF19	NA	2	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	1	NA	1	5	2	1
KIF1A	11	39	33	21	24	36	37	20	11	36	24	15	34	24	19	26	16	39	11
KIF1B	49	44	45	44	45	47	42	42	44	39	47	40	42	41	52	45	16	52	39
KIF1BP	30	27	33	30	28	31	29	29	27	32	29	26	32	31	32	30	16	33	26
KIF1C	31	27	26	32	30	31	35	34	35	33	29	29	31	25	29	29	16	35	25
KIF20A	25	25	18	25	17	20	18	22	14	29	16	20	23	24	26	14	16	29	14
KIF20B	14	13	13	17	7	14	10	18	9	14	16	11	11	17	25	10	16	25	7
KIF21A	41	52	36	37	39	33	38	41	34	39	33	36	31	30	43	33	16	52	30
KIF21B	2	1	4	2	0	4	1	2	3	2	4	4	1	2	9	2	15	9	0
KIF22	17	16	18	17	13	19	14	16	11	19	13	12	11	14	22	10	16	22	10
KIF23	25	28	26	26	16	22	23	23	19	23	24	19	22	23	31	19	16	31	16
KIF24	2	NA	NA	1	NA	2	NA	2	NA	2	NA	1	2	NA	2	1	9	2	1
KIF26A	1	0	0	1	0	0	0	0	0	0	1	0	NA	1	NA	0	4	1	0
KIF26B	13	13	16	12	9	18	10	14	15	18	11	18	9	13	12	11	16	18	9
KIF27	0	1	2	3	3	5	6	1	1	3	1	1	0	4	0	0	12	6	0
KIF2A	33	34	33	27	35	31	28	27	31	35	29	27	29	31	35	33	16	35	27
KIF2C	15	15	15	15	11	12	13	14	9	14	13	12	10	17	15	13	16	17	9
KIF3A	28	26	24	23	26	25	24	26	26	26	23	21	29	28	31	25	16	31	21
KIF3B	26	23	27	22	23	27	28	21	21	29	27	24	25	24	27	25	16	29	21
KIF3C	2	0	2	7	4	1	5	2	1	3	7	1	3	3	2	5	15	7	0
KIF4A	34	23	25	26	15	27	21	22	14	29	23	19	23	25	34	23	16	34	14
KIF5A	3	0	1	0	3	2	8	1	0	2	2	0	5	4	12	5	12	12	0
KIF5B	61	59	71	71	57	60	60	63	57	62	58	56	58	57	60	58	16	71	56
KIF5C	6	8	19	5	14	18	29	28	19	27	5	5	6	25	38	11	16	38	5
KIF7	14	6	15	11	10	9	13	17	12	10	13	7	19	12	10	9	16	19	6
KIFAP3	16	14	15	14	14	15	17	15	15	19	13	12	18	15	15	18	16	19	12
KIFC1	30	20	28	25	17	22	17	21	17	29	24	21	20	24	32	17	16	32	17
KIFC3	7	13	12	12	6	13	10	9	10	11	13	11	7	13	11	11	16	13	6
KIN	18	14	16	16	14	14	15	14	15	17	16	17	12	16	15	18	16	18	12
KIR3DL2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
KIRREL1	20	15	18	18	16	16	15	18	19	20	18	21	17	14	19	20	16	21	14
KIT	13	11	13	13	17	9	17	15	16	24	15	11	13	19	26	15	16	26	9
KITLG	2	3	1	1	2	1	3	1	2	1	2	2	2	2	1	2	16	3	1
KIZ	4	7	6	9	1	8	6	6	9	6	7	9	11	8	11	6	16	11	1
KL	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	3	1	1
KLB	NA	2	NA	NA	NA	1	NA	NA	NA	1	1	1	2	2	1	2	9	2	1
KLC1	5	5	6	6	5	9	7	7	7	8	7	7	9	7	9	7	16	9	5
KLC2	21	19	18	19	20	18	22	22	22	20	22	18	24	23	24	22	16	24	18
KLC3	10	11	15	20	13	21	16	18	17	12	11	18	18	16	14	15	16	21	10
KLC4	24	29	23	29	24	21	21	22	23	22	21	23	23	21	21	25	16	29	21
KLF10	2	1	NA	NA	1	NA	NA	1	2	NA	1	NA	NA	NA	1	NA	7	2	1
KLF12	4	2	4	4	2	4	4	3	3	4	3	3	2	3	6	3	16	6	2
KLF13	4	3	4	3	3	2	3	3	3	2	3	2	3	2	4	1	16	4	1
KLF16	3	2	1	3	4	4	3	4	3	3	4	2	5	4	4	3	16	5	1
KLF2	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	11	1	0
KLF3	5	4	4	5	4	5	3	4	5	6	4	4	5	3	4	4	16	6	3
KLF4	2	1	0	5	2	0	NA	3	0	3	2	1	1	4	3	2	12	5	0
KLF5	3	4	4	6	5	5	5	5	4	6	4	2	6	4	4	5	16	6	2
KLF6	0	0	0	0	1	2	NA	1	0	0	0	NA	0	1	1	NA	5	2	0
KLF7	0	0	1	0	1	0	NA	0	0	0	0	NA	0	0	0	NA	2	1	0
KLF8	NA	NA	1	3	NA	2	2	2	NA	1	1	3	1	2	NA	1	11	3	1
KLF9	1	1	2	1	1	1	1	1	1	1	1	1	1	NA	1	1	15	2	1
KLHDC10	NA	NA	NA	1	1	1	2	2	1	1	1	1	2	1	1	2	13	2	1
KLHDC2	4	4	2	5	4	2	3	3	5	4	4	4	3	3	4	4	16	5	2
KLHDC3	4	4	4	4	3	6	3	3	6	3	3	3	4	4	2	4	16	6	2
KLHDC4	7	6	9	8	6	6	6	8	7	7	6	6	6	6	8	11	16	11	6
KLHDC7A	5	7	1	2	7	8	4	3	4	7	7	4	5	2	NA	2	15	8	1
KLHDC7B	NA	NA	3	NA	NA	1	NA	NA	1	NA	1	NA	NA	7	1	2	7	7	1
KLHDC8B	1	2	2	2	2	3	2	2	1	3	3	1	2	3	NA	1	15	3	1
KLHDC9	NA	1	1	1	NA	1	NA	1	NA	3	1	NA	1	1	1	1	11	3	1
KLHL11	12	11	13	15	12	13	13	11	12	14	8	12	11	13	14	11	16	15	8
KLHL12	3	3	3	3	3	2	2	4	2	3	4	4	4	4	5	3	16	5	2
KLHL13	0	1	2	3	1	4	0	4	2	2	4	0	1	3	1	0	12	4	0
KLHL14	1	1	1	3	1	1	2	1	1	3	NA	1	1	1	5	1	15	5	1
KLHL15	2	2	3	3	1	3	3	3	2	3	2	2	1	2	5	2	16	5	1
KLHL18	3	0	2	3	1	2	5	2	2	1	1	3	4	2	1	3	15	5	0
KLHL2	3	1	1	2	2	1	1	NA	1	1	1	1	1	3	3	3	15	3	1
KLHL20	3	4	2	4	4	2	3	3	0	1	2	1	1	1	2	2	15	4	0
KLHL21	2	1	NA	NA	2	NA	NA	NA	NA	1	1	1	1	1	NA	2	9	2	1
KLHL22	8	6	6	10	6	9	8	12	8	8	11	9	8	7	7	10	16	12	6
KLHL23	1	NA	NA	1	NA	1	1	1	NA	NA	1	NA	1	NA	1	NA	8	1	1
KLHL24	2	3	3	6	3	4	9	2	2	3	3	NA	2	3	6	3	15	9	2
KLHL25	5	4	6	7	6	3	2	5	NA	4	3	5	3	4	4	4	15	7	2
KLHL26	11	8	9	8	11	12	13	11	12	10	9	10	9	10	9	11	16	13	8
KLHL29	3	NA	2	2	1	2	1	3	1	2	2	4	2	3	NA	NA	13	4	1
KLHL3	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	3	1	1
KLHL36	12	13	11	15	14	14	16	14	12	14	13	14	11	14	14	19	16	19	11
KLHL4	1	0	1	2	0	NA	1	2	NA	NA	NA	0	NA	0	NA	NA	5	2	0
KLHL41	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	2	NA	4	2	1
KLHL42	8	6	8	7	6	8	9	7	5	10	6	4	7	8	11	7	16	11	4
KLHL5	2	3	2	5	4	4	6	4	4	4	4	6	5	5	5	5	16	6	2
KLHL6	NA	NA	3	4	NA	2	2	4	NA	2	3	4	NA	4	2	2	11	4	2
KLHL7	11	11	11	12	11	10	10	9	8	10	11	10	8	11	11	10	16	12	8
KLHL8	1	3	4	4	2	8	6	2	3	3	5	6	2	4	4	5	16	8	1
KLHL9	3	3	5	5	3	4	5	5	6	5	5	4	4	4	5	3	16	6	3
KLK1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	6
KLK10	5	3	4	8	1	6	3	11	NA	3	2	2	7	8	1	3	15	11	1
KLK11	NA	4	1	1	1	1	1	3	NA	2	1	NA	1	1	1	NA	12	4	1
KLK12	NA	4	NA	NA	NA	NA	NA	2	NA	2	NA	NA	NA	NA	1	NA	4	4	1
KLK13	NA	6	NA	2	NA	NA	NA	6	NA	NA	NA	1	NA	NA	2	NA	5	6	1
KLK14	NA	1	4	NA	1	2	NA	8	NA	2	3	2	1	1	1	NA	11	8	1
KLK3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
KLK6	2	8	1	6	NA	2	NA	1	NA	4	1	1	1	1	1	2	13	8	1
KLK7	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
KLKB1	25	24	25	24	21	23	23	21	26	23	24	23	20	24	24	27	16	27	20
KLRB1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
KLRC1	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	NA	1	1	0
KLRD1	NA	NA	1	NA	1	2	NA	NA	NA	NA	NA	2	NA	NA	NA	1	5	2	1
KLRG2	2	1	2	2	2	5	5	3	2	2	3	2	3	3	3	4	16	5	1
KLRK1	1	NA	NA	NA	1	1	1	1	1	2	NA	1	NA	1	NA	1	10	2	1
KMO	13	14	15	14	10	10	9	12	12	12	11	15	12	16	12	16	16	16	9
KMT2A	42	34	38	37	26	41	33	43	33	51	34	37	32	37	48	34	16	51	26
KMT2B	26	25	30	22	20	31	28	22	19	34	24	27	27	30	31	27	16	34	19
KMT2C	26	41	31	33	32	45	39	31	28	41	37	30	36	24	39	33	16	45	24
KMT2D	30	25	19	17	8	13	18	21	11	17	22	17	15	21	19	16	16	30	8
KMT2E	7	10	9	11	4	13	9	10	8	9	11	11	5	11	13	6	16	13	4
KMT5A	5	5	7	8	7	7	7	7	6	5	5	7	7	8	9	6	16	9	5
KMT5B	4	7	5	5	5	6	2	8	2	8	5	5	4	5	5	3	16	8	2
KMT5C	5	3	4	6	2	6	2	5	4	4	3	3	2	6	2	2	16	6	2
KNDC1	1	3	NA	1	2	1	NA	2	1	3	2	1	NA	NA	3	1	12	3	1
KNG1	23	27	27	28	25	25	27	27	27	24	27	25	29	27	25	25	16	29	23
KNL1	18	12	20	20	10	23	11	17	4	18	12	11	4	9	22	7	16	23	4
KNOP1	22	17	22	21	22	19	22	20	20	20	22	19	20	22	21	21	16	22	17
KNSTRN	2	1	1	NA	NA	1	1	2	2	1	2	1	1	1	3	NA	13	3	1
KNTC1	63	53	56	56	32	48	45	47	42	55	39	38	38	55	65	44	16	65	32
KPNA1	15	14	17	20	13	14	14	14	13	18	15	12	14	14	15	16	16	20	12
KPNA2	21	17	19	23	19	18	20	18	18	19	19	17	20	21	20	20	16	23	17
KPNA3	14	13	14	15	12	13	13	11	12	11	14	14	9	11	11	11	16	15	9
KPNA4	14	14	15	16	14	13	14	15	14	15	15	14	15	16	14	13	16	16	13
KPNA5	0	1	1	1	0	1	1	1	0	0	2	0	1	1	1	0	10	2	0
KPNA6	15	12	13	14	13	13	12	14	12	14	13	17	14	13	12	14	16	17	12
KPNB1	61	61	70	72	65	63	61	65	62	70	62	56	64	61	64	59	16	72	56
KPRP	1	NA	1	1	1	2	2	3	1	1	1	4	NA	2	1	4	14	4	1
KPTN	4	6	5	5	3	6	4	4	3	5	4	4	4	7	7	4	16	7	3
KRAS	5	6	6	5	6	6	5	4	4	10	6	5	6	4	6	6	16	10	4
KRBA1	2	2	1	1	NA	3	1	1	2	2	2	NA	NA	2	3	2	13	3	1
KRCC1	NA	1	NA	NA	NA	2	2	2	2	3	1	NA	1	3	2	NA	10	3	1
KREMEN1	2	3	6	2	4	4	5	2	NA	2	5	5	4	1	4	3	15	6	1
KREMEN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	2	2	1
KRI1	23	22	23	25	21	17	26	23	26	20	21	20	20	21	20	20	16	26	17
KRIT1	22	18	20	17	17	17	19	18	19	21	17	21	19	16	18	21	16	22	16
KRR1	14	12	15	16	13	12	12	14	11	15	9	13	13	13	12	12	16	16	9
KRT1	41	45	54	54	39	51	39	57	45	41	49	49	51	49	55	45	16	57	39
KRT10	30	30	31	35	33	27	25	42	33	29	29	30	36	35	33	27	16	42	25
KRT12	1	1	2	1	1	0	0	0	0	0	2	1	1	0	0	0	8	2	0
KRT13	19	18	21	29	18	21	17	12	26	17	26	19	22	30	20	23	16	30	12
KRT14	29	21	24	29	25	29	23	29	25	21	25	24	30	24	27	30	16	30	21
KRT15	29	30	37	35	34	29	32	30	38	37	34	34	36	44	35	32	16	44	29
KRT16	33	30	34	35	32	37	31	41	33	30	40	31	38	34	35	38	16	41	30
KRT17	37	25	35	29	32	33	31	37	42	28	36	29	43	31	37	34	16	43	25
KRT18	57	58	81	81	56	56	59	52	52	60	61	61	58	57	60	66	16	81	52
KRT19	36	36	52	50	41	36	35	34	39	45	48	40	40	50	42	47	16	52	34
KRT2	28	26	35	35	29	28	25	28	26	29	28	28	32	34	29	26	16	35	25
KRT20	20	2	4	5	9	8	3	6	3	13	5	13	6	4	4	26	16	26	2
KRT23	7	3	13	18	5	11	5	23	6	19	17	24	33	14	6	13	16	33	3
KRT24	1	0	0	0	1	0	0	14	1	2	0	1	1	0	0	2	8	14	0
KRT25	0	0	0	2	0	0	1	1	0	1	1	0	1	0	0	1	7	2	0
KRT26	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	4	1	0
KRT27	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	4	1	0
KRT28	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0
KRT3	7	3	4	5	3	5	6	5	6	5	6	7	7	5	4	11	16	11	3
KRT31	1	1	1	2	1	1	1	1	4	1	0	1	1	2	1	1	15	4	0
KRT32	0	1	0	3	0	2	1	1	0	1	1	0	0	1	0	0	8	3	0
KRT33A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
KRT33B	0	2	2	0	0	2	2	2	1	1	1	1	0	2	0	1	11	2	0
KRT35	1	5	3	5	2	5	7	3	1	3	1	0	1	3	1	2	15	7	0
KRT36	2	4	3	5	3	4	4	2	2	2	3	2	2	5	2	1	16	5	1
KRT38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
KRT4	22	21	19	16	16	22	24	18	27	17	19	22	19	27	22	29	16	29	16
KRT40	0	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	4	2	0
KRT5	41	33	38	35	36	36	38	38	43	37	40	36	42	46	37	41	16	46	33
KRT6A	5	2	2	2	3	3	2	4	5	2	2	2	8	2	2	4	16	8	2
KRT6B	3	3	3	2	2	5	2	2	4	2	4	3	5	3	3	5	16	5	2
KRT6C	2	1	2	1	3	2	2	1	3	1	3	3	3	2	2	2	16	3	1
KRT7	34	36	40	40	38	34	40	38	40	40	38	37	42	40	36	44	16	44	34
KRT71	1	1	1	1	1	0	1	1	1	0	2	1	1	1	1	1	14	2	0
